Column1,Column5,Column9
저째,Exclamation,*
절씨구,Exclamation,*
절씨구나,Exclamation,*
정말,Exclamation,*
제,Exclamation,*
제그랄,Exclamation,*
제기,Exclamation,*
제기랄,Exclamation,*
제기럴,Exclamation,*
제길,Exclamation,*
제길할,Exclamation,*
제길헐,Exclamation,*
제미,Exclamation,*
제미랄,Exclamation,*
제미럴,Exclamation,*
제미붙을,Exclamation,*
제밀할,Exclamation,*
제에기,Exclamation,*
제에길,Exclamation,*
제엔장,Exclamation,*
젠장,Exclamation,*
젠장맞을,Exclamation,*
젠장할,Exclamation,*
젠장헐,Exclamation,*
젠젱,Exclamation,*
조또,Exclamation,*
조오또,Exclamation,*
좀,Exclamation,*
좋아,Exclamation,*
좋아요,Exclamation,*
죄암죄암,Exclamation,*
죄죄,Exclamation,*
죔죔,Exclamation,*
쥐뿔,Exclamation,*
쥐엄쥐엄,Exclamation,*
즐,Exclamation,*
지,Exclamation,*
지금,Exclamation,*
지기랄,Exclamation,*
지기미,Exclamation,*
지르르륵,Exclamation,*
지미,Exclamation,*
지미씨팔,Exclamation,*
지화자,Exclamation,*
짜샤,Exclamation,*
짜식,Exclamation,*
짜자짜자짠짠,Exclamation,*
짝짜꿍짝짜꿍,Exclamation,*
짠,Exclamation,*
짹쪼그르짹쪼그르,Exclamation,*
쩌,Exclamation,*
쩟,Exclamation,*
쯔쯔,Exclamation,*
쯔쯔쯔,Exclamation,*
쯔쯔쯔쯧,Exclamation,*
쯔쯔쯧,Exclamation,*
쯔쯧,Exclamation,*
쯔쯧쯧,Exclamation,*
쯥,Exclamation,*
쯧,Exclamation,*
쯧쯧,Exclamation,*
쯧쯧쯧,Exclamation,*
쯧쯧쯧쯧,Exclamation,*
찌찌뽕,Exclamation,*
찟,Exclamation,*
차,Exclamation,*
차려,Exclamation,*
차렷,Exclamation,*
차암,Exclamation,*
참,Exclamation,*
참나,Exclamation,*
참내,Exclamation,*
찻,Exclamation,*
처,Exclamation,*
처어,Exclamation,*
천만에,Exclamation,*
천만에요,Exclamation,*
체,Exclamation,*
쳇,Exclamation,*
츠,Exclamation,*
츠츠츠,Exclamation,*
치,Exclamation,*
치이,Exclamation,*
칫,Exclamation,*
카,Exclamation,*
카라카라,Exclamation,*
칵,Exclamation,*
캐캐,Exclamation,*
캐캐캐,Exclamation,*
캬,Exclamation,*
커,Exclamation,*
컥,Exclamation,*
컹컹컹,Exclamation,*
케,Exclamation,*
케에엑,Exclamation,*
켁켁,Exclamation,*
콩콩콩,Exclamation,*
쿵깨내,Exclamation,*
쿵쿵쿵,Exclamation,*
크,Exclamation,*
크으,Exclamation,*
